Código CNO;Nombre CNO;Código DEN C.N.O.;Nombre DENOM C.N.O.;Código CUOC;Nombre CUOC;Código DEN CUOC;Nombre DENOM CUOC
0011;Miembros del Poder Ejecutivo y Legislativo;D-0011.012;Representante a la cámara;11.110.022;Representante de la cámara;11110;Directores formuladores y ejecutores de políticas y normas
0012;Personal Directivo de la Administración Pública;D-0012.008;Director departamento administrativo nacional;11.120.016;Director de departamento administrativo nacional;11120;Directores del gobierno
0012;Personal Directivo de la Administración Pública;D-0012.009;Director ejecutivo administración pública;11.120.023;Director ejecutivo de administración pública;11120;Directores del gobierno
0012;Personal Directivo de la Administración Pública;D-0012.012;Director ejecutivo cancillería;11.120.024;Director ejecutivo de cancillería;11120;Directores del gobierno
0012;Personal Directivo de la Administración Pública;D-0012.013;Director ejecutivo servicios gubernamentales;11.120.025;Director ejecutivo de servicios gubernamentales;11120;Directores del gobierno
0012;Personal Directivo de la Administración Pública;D-0012.014;Director general administración pública;11.120.026;Director general de administración pública;11120;Directores del gobierno
0012;Personal Directivo de la Administración Pública;D-0012.016;Director general impuestos y aduanas;11.120.028;Director general de impuestos y aduanas;11120;Directores del gobierno
0012;Personal Directivo de la Administración Pública;D-0012.018;Director general servicios gubernamentales;11.120.030;Director general de servicios gubernamentales;11120;Directores del gobierno
0012;Personal Directivo de la Administración Pública;D-0012.022;Gerente general servicios gubernamentales;11.120.037;Gerente general de servicios gubernamentales;11120;Directores del gobierno
0012;Personal Directivo de la Administración Pública;D-0012.023;Gobernador comunidad indígena;11.130.001;Gobernador de comunidad indígena;11130;Jefes de comunidades étnicas
0012;Personal Directivo de la Administración Pública;D-0012.024;Jefe comunidad indígena;11.130.002;Jefe de comunidad indígena;11130;Jefes de comunidades étnicas
0012;Personal Directivo de la Administración Pública;D-0012.025;Jefe etnia indígena;11.130.003;Jefe de etnia indígena;11130;Jefes de comunidades étnicas
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.001;Director ejecutivo entidades financieras de telecomunicaciones y otros servicios;11.200.009;Director ejecutivo entidades financieras de telecomunicaciones;11200;Directores y gerentes generales
