Código CNO;Nombre CNO;Código DEN C.N.O.;Nombre DENOM CON;NombreDENOMCON1;Código CUOC;NombreCUOC;NombreCUOC1;Código DEN CUOC;Nombre DENOM CUOC;;;;;;;;
0011;Miembros del Poder Ejecutivo y Legislativo;D-0011.012;Representante a la cámara;Representante a la camara;11.110.022;Representante de la cámara;Representante de la camara;11110;Directores formuladores y ejecutores de políticas y normas;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.008;Director departamento administrativo nacional;Director departamento administrativo nacional;11.120.016;Director de departamento administrativo nacional;Director de departamento administrativo nacional;11120;Directores del gobierno;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.009;Director ejecutivo administración pública;Director ejecutivo administracion publica;11.120.023;Director ejecutivo de administración pública;Director ejecutivo de administracion publica;11120;Directores del gobierno;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.012;Director ejecutivo cancillería;Director ejecutivo cancilleria;11.120.024;Director ejecutivo de cancillería;Director ejecutivo de cancilleria;11120;Directores del gobierno;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.013;Director ejecutivo servicios gubernamentales;Director ejecutivo servicios gubernamentales;11.120.025;Director ejecutivo de servicios gubernamentales;Director ejecutivo de servicios gubernamentales;11120;Directores del gobierno;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.014;Director general administración pública;Director general administracion publica;11.120.026;Director general de administración pública;Director general de administracion publica;11120;Directores del gobierno;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.016;Director general impuestos y aduanas;Director general impuestos y aduanas;11.120.028;Director general de impuestos y aduanas;Director general de impuestos y aduanas;11120;Directores del gobierno;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.018;Director general servicios gubernamentales;Director general servicios gubernamentales;11.120.030;Director general de servicios gubernamentales;Director general de servicios gubernamentales;11120;Directores del gobierno;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.022;Gerente general servicios gubernamentales;Gerente general servicios gubernamentales;11.120.037;Gerente general de servicios gubernamentales;Gerente general de servicios gubernamentales;11120;Directores del gobierno;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.023;Gobernador comunidad indígena;Gobernador comunidad indigena;11.130.001;Gobernador de comunidad indígena;Gobernador de comunidad indigena;11130;Jefes de comunidades étnicas;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.024;Jefe comunidad indígena;Jefe comunidad indigena;11.130.002;Jefe de comunidad indígena;Jefe de comunidad indigena;11130;Jefes de comunidades étnicas;;;;;1;;;
0012;Personal Directivo de la Administración Pública;D-0012.025;Jefe etnia indígena;Jefe etnia indigena;11.130.003;Jefe de etnia indígena;Jefe de etnia indigena;11130;Jefes de comunidades étnicas;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.001;Director ejecutivo entidades financieras de telecomunicaciones y otros servicios;Director ejecutivo entidades financieras de telecomunicaciones y otros servicios;11.200.009;Director ejecutivo entidades financieras de telecomunicaciones;Director ejecutivo entidades financieras de telecomunicaciones;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.002;Director general entidades financieras de telecomunicaciones y otros servicios;Director general entidades financieras de telecomunicaciones y otros servicios;11.200.024;Director general entidades financieras de telecomunicaciones;Director general entidades financieras de telecomunicaciones;11200;Directores y gerentes generales;;;;;1;;;
