"ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Longitude,Latitude"
"234233843,09/29/2021,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,B,42,0,25-44,M,BLACK,1009231,240290,-73.90973779,40.82618898"
"234129823,09/27/2021,157,RAPE 1,104,RAPE,PL 1303501,F,K,77,0,25-44,M,BLACK,1003606,185050,-73.93022154,40.67458331"
"234040747,09/25/2021,109,ASSAULT 2-1-UNCLASSIFIED,106,FELONY ASSAULT,PL 1200501,F,Q,101,0,25-44,M,BLACK,1049232,159210,-73.76598559,40.60344094"
"234047720,09/25/2021,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,44,0,25-44,M,BLACK,1006537,244511,-73.91945797,40.83778162"
"234042526,09/25/2021,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,44,0,25-44,M,BLACK,1007418,243859,-73.91627636,40.8359898"
"234006839,09/24/2021,582,,,,PL 2225501,F,M,23,0,25-44,M,BLACK,998659,228177,-73.9479635,40.79296573"
"233952333,09/23/2021,397,ROBBERY-OPEN AREA UNCLASSIFIED,105,ROBBERY,PL 1600500,F,K,75,0,18-24,M,BLACK,1017119,183909,-73.88151172,40.67141166"
"233878488,09/21/2021,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211300,F,B,40,0,25-44,M,WHITE,1010679,234533,-73.90452842,40.81038343"
"233784866,09/19/2021,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,44,0,25-44,F,BLACK,1004489,237844,-73.92687939,40.81948754"
"233647454,09/16/2021,397,ROBBERY-OPEN AREA UNCLASSIFIED,105,ROBBERY,PL 1601503,F,K,61,0,18-24,M,BLACK,995834,161062,-73.95828139,40.60875497"
"233424190,09/11/2021,157,RAPE 1,104,RAPE,PL 1303501,F,Q,104,0,25-44,M,BLACK,1013764,195875,-73.89355376,40.70426739"
